Annee_Modele,Kilometrage,Marque,Modele,Puissance_fiscale,Type,TypeDeCarburant,prix
2012,170 000 - 179 999,BMW,Serie 5,8 CV,sidi_maarouf,Diesel,"(['199000', '199', '000', '199000', '199', '000'],)"
2012,160 000 - 169 999,BMW,Serie 1,"Voitures, Offre","
",Diesel,"(['145000', '145', '000', '145000', '145', '000'],)"
2016,130 000 - 139 999,Skoda,Octavia,6 CV,hay_zaytoun,Diesel,"([],)"
2015,140 000 - 149 999,Fiat,Punto,5 CV,"Voitures, Offre",Diesel,"(['75000', '75', '000', '75000', '75', '000'],)"
2012,180 000 - 189 999,Volkswagen,Touareg,12 CV,ain_sebaa,Diesel,"(['165000', '165', '000', '165000', '165', '000'],)"
2012,65 000 - 69 999,Peugeot,207,6 CV,autre_secteur,Diesel,"(['88000', '88', '000', '88000', '88', '000'],)"
2014,130 000 - 139 999,Dacia,Dokker,6 CV,"Voitures, Offre",Diesel,"(['97000', '97', '000', '97000', '97', '000'],)"
2008,140 000 - 149 999,Volvo,XC90,10 CV,sidi_maarouf,Diesel,"(['129000', '129', '000', '129000', '129', '000'],)"
2016,80 000 - 84 999,Peugeot,308,6 CV,yacoub_el_mansour,Diesel,"(['125000', '125', '000', '125000', '125', '000'],)"
2012,190 000 - 199 999,Volkswagen,Touran,8 CV,"Voitures, Offre",Diesel,"(['135000', '135', '000', '135000', '135', '000'],)"
2008,160 000 - 169 999,Peugeot,Partner,6 CV,"Voitures, Offre",Diesel,"(['54000', '54', '000', '54000', '54', '000'],)"
2014,120 000 - 129 999,Dacia,Dokker,6 CV,hay_zaytoun,Diesel,"([],)"
2009,190 000 - 199 999,Volkswagen,GOLF 6,8 CV,"Voitures, Offre",Diesel,"(['123000', '123', '000', '123000', '123', '000'],)"
2007,20 000 - 24 999,Renault,19,8 CV,"Voitures, Offre",Essence,"(['35000', '35', '000', '35000', '35', '000'],)"
2014,110 000 - 119 999,Dacia,Dokker,6 CV,hamria,Diesel,"(['87000', '87', '000'],)"
2016,100 000 - 109 999,Peugeot,508,6 CV,yacoub_el_mansour,Diesel,"(['154000', '154', '000', '154000', '154', '000'],)"
2012,120 000 - 129 999,Porsche,Cayenne,ain_diab,"Voitures, Offre",Diesel,"(['320000', '320', '000', '320000', '320', '000'],)"
2015,90 000 - 94 999,mini,country man,8 CV,sidi_maarouf,Diesel,"(['199000', '199', '000', '199000', '199', '000'],)"
1998,250 000 - 299 999,Honda,Civic,9 CV,"Voitures, Offre",Essence,"(['32000', '32', '000', '32000', '32', '000'],)"
7,"421 m²
","Maisons et Villas, Offre","
","
Sauvegarder l'annonce
","
",ancienne_medina,"([],)"
2014,100 000 - 109 999,Nissan,Qashqai,8 CV,yacoub_el_mansour,Diesel,"([],)"
oulfa,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Pièces et Accessoires pour véhicules, Offre","(['1800', '1', '800', '1800', '1', '800'],)"
2011,110 000 - 119 999,Renault,Latitude,autre_secteur,"Voitures, Offre",Diesel,"(['100000', '100', '000', '100000', '100', '000'],)"
3,"70 m²
","Locations de vacances, Offre de location","
","
Sauvegarder l'annonce
","
",el_majd,"(['250', '250', '250', '250'],)"
4,"250 m²
","Maisons et Villas, Offre de location","
","
Sauvegarder l'annonce
","
",route_de_casablanca,"(['8500', '8', '500', '8500', '8', '500'],)"
2013,120 000 - 129 999,Nissan,Juke,6 CV,route_dimmouzere,Diesel,"(['125000', '125', '000', '125000', '125', '000'],)"
agdal,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(['300', '300', '300', '300'],)"
